GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
081022A,332399,226.584,12.409,160.0,25.0,1.67,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger.",-,-
081017A,331964,230.209,-32.79,320.0,14.0,1.64,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger.",-,-
081012A,331475,30.184,-17.627,29.0,11.0,1.03,Delayed slew.,-,-
081011A,331332,220.363,33.548,9.0,1.6,1.47,"XRT: Due to the proximity to the sun constraint, it was decided to cancel the observations after the first day. No further observations are planned and possible due the sun constraint.",-,-
081008A,331093,279.968,-57.433,185.5,43.0,1.69,-,1.9685,R=20.75 (Gemini-South)
081007A,330856,339.963,-40.146,10.0,7.1,2.51,-,0.5295,-
080928A,326115,95.061,-55.176,280.0,25.0,1.77,-,1.692,-
080916B,324907,163.632,69.061,32.0,6.3,1.49,Delayed AT slew (observing constraint),-,-
080916A,324895,336.289,-57.026,60.0,40.0,-,-,0.689,-
080915A,324744,17.911,-76.042,14.0,2.3,1.64,No AT slew (Earth limb constraint)|UVOT: no detection,-,-
080913A,324561,65.741,-25.127,8.0,5.6,-,UVOT: no detection,6.44,-
080906A,323984,228.055,-80.54,147.0,35.0,1.59,-,2.0,-
080905B,323898,301.746,-62.568,128.0,18.0,1.78,UVOT: uncertain detection in the B band,2.374,-
080903A,323542,86.79,51.256,66.0,14.0,-,-,-,-
080822B,321376,63.56,25.76,64.0,1.7,2.54,Swift did not slew to this burst because of the Moon observing constraint.,-,-
080810A,319584,356.783,0.31,106.0,46.0,1.34,-,3.35,-
080805A,319036,314.231,-62.433,78.0,25.0,1.53,UVOT: no detection,1.505,-
080804A,319016,328.675,-53.189,34.0,36.0,1.19,-,2.2045,-
080802A,318832,270.729,-32.329,176.0,13.0,1.76,"BAT: Given the Galactic lon,lat being in the bulge, we can not rule out a non-GRB source for this trigger.  All other factors point to a GRB.|UVOT: no detection",-,-
080727C,318170,32.638,64.13,79.7,52.0,-,UVOT: no detection,-,-
080727B,318101,276.871,1.173,8.6,31.0,-,UVOT: no detection,-,-
080725A,317888,121.699,-13.984,120.0,37.0,1.5,"Due to proximity to the Sun, Swift cannot slew to the BAT position. The source will not be observable until September. There will thus be no XRT or UVOT data for this trigger.",-,-
080723A,317662,274.461,-6.91,17.3,3.3,1.77,-,-,-
080721A,317508,224.481,-11.709,16.2,120.0,1.11,-,2.602,-
080714A,316910,188.104,-60.274,33.0,25.0,1.52,-,-,-
080710A,316534,8.259,19.484,120.0,14.0,1.47,"Due to an observing constraint, Swift did not slew until ~ T0+49.5 minutes.",0.845,-
080707A,316204,32.627,33.1,27.1,5.2,1.77,-,1.23,-
080702B,BATSS,355.616,-5.424,20.0,5.0,1.44,BATSS detected burst.|UVOT: no detection,-,-
080701A,315615,45.944,75.481,18.0,7.1,2.24,Swift was unable to slew to the source due to Earth limb constraints.,-,-
080623A,315080,237.667,-62.044,15.2,10.0,1.35,XRT and UVOT prompt observations delayed due to Earth limb constraint.|UVOT: no detection,-,-
080613B,313954,173.806,-7.102,105.0,58.0,1.39,UVOT: no detection,-,-
080607A,313417,194.964,15.91,79.0,240.0,1.31,-,3.036,-
080605A,313299,262.13,4.01,20.0,133.0,-,-,1.6398,-
080604A,313116,236.96,20.557,82.0,8.0,1.78,BAT: This burst satisfies Sakamoto/Ukwatta Swift-BAT possible high-z criteria,1.416,-
080603B,313087,176.554,68.061,60.0,24.0,-,-,2.69,-
080602A,312958,19.177,-9.239,74.0,32.0,1.43,-,-,-
080524A,312277,268.449,80.143,9.0,2.9,1.1,BAT: detection in ground analysis|XRT: no detection|UVOT: no detection,-,-
080523A,312242,20.769,-64.06,102.0,8.8,1.65,UVOT: no detection,-,-
080517A,311874,102.274,50.741,64.6,5.6,1.54,BAT: This burst satisfies Sakamoto/Ukwatta Swift-BAT possible high-z criteria (Ukwatta et al. arXiv:0802.3815),-,-
080516A,311762,120.661,-26.146,5.8,2.6,1.82,UVOT: no detection,3.2,-
080515A,311658,3.166,32.564,21.0,20.0,-,"This burst is only 45.9 degrees from the Sun, so there will be no prompt XRT or UVOT data.|BAT: burst can be classified as an X-ray flash.|UVOT: The XRT error circle is located in the scattered light halo of the B = 11.4 star (TYC 2264-1051-1), so it is not possible to constrain the presence of an afterglow in the UVOT data",-,-
080506A,311159,329.467,38.961,150.0,13.0,1.87,BAT: This burst satisfies Sakamoto/Ukwatta Swift-BAT possible high-z criteria (85% chance it has a z > 3.5).,-,-
080503A,310785,286.686,68.803,170.0,20.0,2.0,BAT: Currently uncertain if this is a SHB with extended emission or a Long burst with a partcularly short pulse at the beginning.,-,-
080430A,310613,165.331,51.682,16.2,12.0,1.73,-,0.767,-
080413B,309111,326.138,-19.981,8.0,32.0,-,-,1.1,-
080413A,309096,287.301,-27.677,46.0,35.0,1.57,"BAT: GCN 7630, joint Suzaku/WAM and Swift/BAT spectral fit, numbers not reflected in the table.",2.433,-
080411A,309010,37.961,-71.297,56.0,264.0,1.75,-,1.03,-
080409A,308812,84.304,5.078,20.2,6.1,2.1,UVOT: no detection,-,-
080405A,IPN,162.597,-4.25,40.0,12.0,1.28,Found in ground analysis after Mars Odyssey alerted the IPN.,-,-
080330A,308041,169.278,30.607,61.0,3.4,2.53,BAT: burst can be classified as an X-ray flash,1.51,-
080328A,307931,80.49,47.523,90.6,94.0,1.52,-,-,-
080325A,307604,277.906,36.516,128.4,49.0,1.68,-,-,Ks=19.5 (Subaru)
080320A,306858,177.763,57.162,14.0,2.7,1.7,-,-,-
080319D,306793,99.479,23.982,24.0,3.2,1.92,-,-,-
080319C,306778,259.006,55.393,34.0,36.0,1.37,The Swift slew to the burst was delayed because of an Earth constraint.,1.95,-
080319B,306757,217.919,36.3,50.0,810.0,1.04,UVOT: V and White filters were saturated,0.937,-
080319A,306754,206.352,44.08,64.0,48.0,1.6,The Swift slew to the burst was delayed because of an earth constraint.,-,-
080315A,306323,155.124,41.701,65.0,1.4,2.51,"Cannot rule out that this was a real burst, but given the lack of XRT detection and marginal BAT detection it is not likely.|XRT: no detection|UVOT: no detection",-,-
080310A,305288,220.04,-0.164,365.0,23.0,2.32,-,2.4266,-
080307A,305011,136.629,35.151,125.9,8.7,1.78,BAT: This burst satisfies Sakamoto/Ukwatta Swift-BAT possible high-z criteria (arXiv:0802.3815),-,-
080303A,304549,112.019,-70.231,67.0,6.6,1.54,-,-,-
080229A,304379,228.22,-14.697,64.0,90.0,1.91,UVOT: no detection|VLA: possible radio detection,-,-
080218B,303631,177.927,-53.086,6.2,5.1,-,UVOT: no detection,-,-
080218A,303609,355.941,12.159,27.6,6.3,2.34,"Because this burst is in the Sun constraint until May, no XRT or UVOT data will be available.",-,-
080212A,303105,231.145,-22.739,123.0,29.0,-,-,-,-
080210A,302888,251.259,13.826,45.0,18.0,1.77,-,2.641,-
080207A,302728,207.514,7.492,340.0,61.0,-,UVOT: no detection,2.0858,-
080205A,302506,98.261,62.782,106.5,21.0,2.08,-,-,-
080130A,BATSS,261.632,-53.19,65.0,7.7,1.21,BATSS detected burst.|UVOT: no detection,-,-
080129A,301981,105.297,-7.84,48.0,8.9,1.34,No AT slew (Earth limb constraint)|UVOT: no detection,-,-
080123A,301578,338.974,-64.93,115.0,5.7,2.15,BAT: BATSS observations of extended prompt emission (GCN 7237 )|UVOT: no detection,-,-
071129A,297628,220.039,-26.667,420.0,35.0,1.94,There will be no XRT or UVOT observations of this burst because of the Sun observing constraint.,-,-
071122A,297114,276.576,47.102,68.7,5.8,1.77,-,1.14,-
071118A,296856,299.839,70.13,71.0,5.0,1.63,-,-,-
071117A,296805,335.026,-63.442,6.6,24.0,1.57,No AT slew (Earth limb constraint)|UVOT: no detection,1.331,-
071112C,296504,39.218,28.368,15.0,30.0,1.09,-,0.823,-
071101A,295779,48.179,62.524,9.0,0.76,2.25,-,-,-
071031A,295670,6.399,-58.048,180.0,9.0,2.42,-,2.692,-
071028A,295527,119.828,21.473,27.0,3.0,1.87,"UVOT: no detection, there is a bright (12th mag) star in the XRT error circle which severely limits the ability to detect a possible afterglow",-,-
071028B,295492|Ground Analysis,354.163,-31.63,55.0,2.5,1.45,The burst was detected on the ground. There are no prompt XRT or UVOT data.|UVOT: no detection,0.94,-
071025A,295301,355.065,31.784,109.0,65.0,1.79,UVOT: no detection,-,-
071021A,294974,340.573,23.764,225.0,13.0,1.7,"BAT: the burst has BAT high-redshift indicators|UVOT: no data products for this burst, because it is still in engineering mode.|VLT photometric reported redshift removed and replaced with TOUGH reported redshift. See references.",2.452,-
071018A,294645,164.685,53.822,376.0,10.0,1.63,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled outside of business hours (US EDT), therefore, there are no prompt XRT or UVOT observations of this burst.|BAT: This burst has several characteristics which are typical of high redshift bursts.|XRT: 5 possible afterglow sources",-,-
071013A,294120,279.501,33.846,26.0,3.2,1.6,There are no XRT or UVOT data products because auto-slewing to new bursts is disabled while in gyro-calibration mode.,-,-
071011A,293924,8.395,61.132,61.0,0.22,1.41,No AT slew (Earth limb constraint)|UVOT: currently in safe and will not observe this burst.,-,-
071010B,293795,150.531,45.733,35.7,44.0,-,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled outside of business hours, therefore, there are no prompt XRT or UVOT observations of this burst.",0.947,-
071010A,293707,288.04,-32.385,6.0,2.0,2.33,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled outside of business hours.",0.98,-
071008A,293587,151.571,44.303,18.0,2.4,2.23,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled outside of business hours, therefore, there are no prompt XRT or UVOT observations.",-,-
071006A,293250|Ground Analysis,335.294,-23.147,50.0,1.4,0.75,"BAT: burst was detected on the ground, extrapolated peak photon flux|There are no prompt XRT data.",-,-
071003A,292934,301.857,10.954,150.0,83.0,1.36,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled outside of business hours (US EDT).  Therefore, there are no prompt XRT or UVOT observations of this burst",1.1,-
071001A,292826,149.707,-59.763,58.5,7.7,1.62,UVOT: no observation,-,-
070920B,291728,0.127,-34.844,20.2,6.6,-,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled.  Therefore, there are no prompt XRT or UVOT observations of this burst.|XRT: possible afterglow",-,-
070920A,291614,100.968,72.25,56.0,5.1,1.69,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled.  Therefore, there are no prompt XRT or UVOT observations of this burst.",-,-
070917A,291292,293.923,2.42,7.3,20.0,1.52,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled.  Therefore, there are no prompt XRT or UVOT observations of this burst.",-,-
070911A,290624,25.819,-33.484,162.0,120.0,1.72,"Swift is in the process of resuming normal operations, there was no automatic follow-up observation by the XRT and UVOT.",-,-
070810A,287364,189.947,10.747,11.0,6.9,2.04,-,2.17,-
070808A,287260,6.761,1.18,32.0,12.0,1.47,UVOT: no detection,-,-
070805A,287088,245.057,-59.957,31.0,7.2,1.84,No AT slew (Earth limb constraint)|XRT: two possible candidates|UVOT: no detection,-,-
070802A,286809,36.903,-55.517,16.4,2.8,1.79,UVOT: no detection,2.45,-
070721B,285654,33.128,-2.198,340.0,36.0,1.34,-,3.626,-
070714B,284856,57.853,28.294,64.0,7.2,1.36,BAT: Fluence and photon index from joint analysis with Suzaku|UVOT: z<1.3,0.92,-
070704A,283791,354.707,66.257,380.0,59.0,1.79,UVOT: no detection,-,-
070628A,283320,115.271,-20.281,39.1,35.0,1.91,Swift just entering SAA passage,-,-
070621A,282808,323.806,-24.809,33.3,43.0,1.57,Other observatory detections were at the edge of the XRT error circle,-,-
070616A,282445,32.096,56.946,402.4,192.0,1.61,-,-,-
070612B,282073,261.716,-8.747,13.5,16.8,1.55,No AT slew (Earth limb constraint)|UVOT: no detection,-,-
070612A,282066,121.355,37.258,368.8,106.0,1.69,No AT slew (Sun constraint),0.617,-
070611A,282003,2.004,-29.756,12.2,3.91,1.66,No AT slew (Earth limb constraint),2.04,-
070531A,280958,6.714,74.315,44.5,10.8,1.41,UVOT: no detection,-,-
070529A,280706,283.717,20.648,109.2,25.7,1.34,-,2.4996,-
070521A,279935,242.659,30.26,37.9,80.1,-,UVOT: no detection,0.553,"possible host:|z'~23.5 (Subaru)|i'~24.1, Ks~22.3 (Gemini North)|3 candidates (Keck I)"
070520B,279898,121.886,57.588,65.8,9.25,1.14,UVOT: no detection,-,-
070520A,279817,193.255,75.005,18.1,2.5,1.6,BAT: 88 sec image trigger|UVOT: no detection,-,-
070518A,279592,254.219,55.289,5.5,1.62,2.11,-,-,-
070517A,279494,277.556,-62.305,7.6,2.15,1.94,UVOT: unable to observe due to a 4th magnitude star 8 arcmin from burst location,-,-
070509A,278903,237.874,-78.657,7.7,1.75,2.33,UVOT: no detection,-,-
070508A,278854,312.832,-78.382,20.9,196.0,-,-,0.82,-
070429A,277571,297.695,-32.42,163.3,9.1,2.1,UVOT: no detection,-,-
070427A,277356,28.871,-27.603,11.1,7.2,2.08,No AT slew (Sun constraint),-,-
070420A,276321,121.245,-45.564,76.5,140.0,-,-,-,-
070419B,276212,315.709,-31.266,236.4,73.6,1.66,-,-,-
070419A,276205,182.755,39.903,115.6,5.58,2.35,Keck I: redshift likely from host galaxy,0.97,-
070412A,275119,181.525,40.133,33.8,4.84,1.45,UVOT: no detection,-,"Keck I: I=24.6, potential host"
070411A,275087,107.342,1.061,121.5,27.0,1.72,-,2.954,-
070330A,273180,269.533,-63.799,9.0,1.83,2.06,-,-,-
070328A,272773,65.113,-34.079,75.3,90.6,1.24,UVOT: no detection,-,-
070318A,271019,48.486,-42.95,74.6,24.8,1.42,UVOT: flattening of the lightcurve (not due to host galaxy),0.836,-
070306A,263361,148.154,10.44,209.5,53.8,1.66,UVOT: no detection,1.497,-
070227A,262347|Ground Analysis,120.578,-46.302,7.0,16.2,1.53,"Burst found in ground analysis, ToO issued.|XRT: possible afterglow|UVOT: no detection",-,-
070224A,261880,178.988,-13.355,34.5,3.05,2.42,UVOT: no detection,-,-
070223A,261664,153.453,43.132,88.5,17.0,1.85,UVOT: no detection,-,-
070220A,261299,34.8,68.8,129.0,104.0,1.4,UVOT: no detection,-,-
070219A,261132,260.22,69.345,16.6,3.19,1.78,UVOT: no detection,-,-
070208A,259714,197.891,61.942,47.7,4.45,1.94,-,1.165,Potential host galaxies (MDM)
070129A,258408,36.995,11.728,460.6,29.8,2.01,XRT: dust-scattered X-ray halo detected|UVOT: no detection,2.3384,-
070126A,257741,33.503,-73.553,51.0,1.63,2.03,XRT: no detection|UVOT: no detection,-,"possible host (VLT, UVOT)"
070110A,255445,0.934,-52.978,88.4,16.2,1.58,"Declared a ""burst of interest"".",2.352,-
070107A,255029,159.422,-53.202,347.3,51.7,1.33,-,-,-
070103A,254532,352.581,26.823,18.6,3.38,1.95,UVOT: no detection,2.6208,-
061222B,252593,105.353,-25.866,40.0,22.4,1.97,-,3.355,-
061222A,252588,358.254,46.524,71.4,79.9,1.35,UVOT: no detection,2.088,-
061218A,251863,149.26,-35.217,6.5,0.41,2.75,BAT: possible burst,-,-
061210A,243690,144.521,15.613,85.3,11.1,1.56,No AT slew (Moon constraint)|UVOT: no detection|Possible redshift/host (please see circulars),0.41,"possible host (Gemini, MDM, Keck)"
061202A,241963,105.255,-74.602,91.2,34.2,1.58,-,-,-
061126A,240766,86.615,64.204,70.8,67.7,1.32,No AT slew (Earth-limb constraint),-,-
061121A,239899,147.228,-13.188,81.3,137.0,1.41,-,1.314,"Likely host (NOT)|V=22.4, I=21.9 (SMARTS)"
061110B,238174,323.912,6.872,134.0,13.3,1.03,No AT slew (Earth limb constraint)|UVOT: no detection,3.44,-
061110A,238108,336.284,-2.252,40.7,10.6,1.67,UVOT: no detection|VLT: tentative redshift from host galaxy,0.758,-
061102A,236430,148.394,-17.022,45.6,2.79,1.56,UVOT: no detection,-,-
061028A,235715,97.193,46.29,106.2,9.66,1.73,UVOT: no detection,-,-
061027A,235645,270.992,-82.239,150.0,2.97,1.96,Possible burst|XRT: no detection|UVOT: no detection,-,-
061021A,234905,145.146,-21.953,46.2,29.6,1.3,BAT: long burst not short with extended emission,0.3463,-
061019A,234516,91.675,29.527,183.8,25.9,1.92,No AT slew (Earth limb constraint)|UVOT: no detection|XRT: dust-scattered X-ray halo detected,-,-
061007A,232683,46.299,-50.496,75.3,444.0,1.03,-,1.261,-
061006A,232585,110.998,-79.195,129.9,14.2,1.72,BAT: short-hard burst|UVOT: no detection,-,-
061004A,232339,97.795,-45.903,6.2,5.66,1.81,UVOT: no detection,-,-
061002A,231974,220.356,48.726,17.6,6.77,1.76,UVOT: no detection,-,-
060929A,231702,263.148,29.825,554.0,8.3,1.83,UVOT: no detection,-,-
060927A,231362,329.547,5.37,22.5,11.3,-,UVOT: no detection,5.6,-
060926A,231231,263.926,13.039,8.0,2.19,2.54,-,3.208,-
060923C,230711,346.122,3.943,75.8,15.8,2.27,UVOT: cannot observe (4th magnitude star to near source),-,-
060923B,230702,238.193,-30.907,8.6,4.8,2.5,UVOT: no detection,-,-
060923A,230662,254.623,12.341,51.7,8.69,1.7,-,-,"Probable host, R~25.5 (VLT)"
060919A,230115,276.9,-50.994,9.1,5.46,1.85,UVOT: no detection,-,-
060912A,229185,5.285,20.971,5.0,13.5,1.74,-,0.937,probable host (VLT)
060908A,228581,31.828,0.335,19.3,28.0,-,Gemini-North redshift removed and replaced with Fynbo reported redshift. See references.,1.8836,"Possible host, V=24.9, R=25.12 (NOT)"
060906A,228316,40.709,30.362,43.5,22.1,2.03,-,3.685,-
060904B,228006,58.218,-0.729,171.5,16.2,1.64,-,0.703,-
060904A,227996,237.731,44.984,80.1,77.2,1.55,UVOT: no detection,-,-
060825A,226382,18.132,55.796,8.0,9.63,-,-,-,-
060814A,224552,221.338,20.591,145.3,146.0,1.53,Keck reported redshift removed and revised TOUGH redshift added. See references.,0.84,"Possible host: R & I (VLT), Ks ~ 18.2 (Palomar Hale), I & V (Keck I)"
060813A,224364,111.89,-29.844,16.1,54.6,-,UVOT: no detection,-,-
060807A,223217,252.52,31.591,54.0,8.48,1.58,UVOT: no detection,-,"Possible host, V=24.9, R=24.26, i=22.1 (NOT)"
060805A,222683,220.928,12.58,5.3,0.72,2.2,UVOT: no detection,-,-
060804A,222546,112.219,-27.225,17.8,5.98,1.73,-,-,-
060729A,221755,95.287,-62.221,115.3,26.1,1.75,-,0.54,-
060728A,221627,16.644,-41.39,60.0,2.29,1.44,BAT: probable GRB|UVOT: no detection|XRT: no detection,-,-
060719A,220020,18.42,-48.381,66.9,15.0,1.91,UVOT: no detection,1.532,-
060714A,219101,227.855,-6.544,115.0,28.3,1.93,-,2.71,NOT: possible host
060712A,218582,184.067,35.54,26.3,12.4,1.62,UVOT: no detection,-,-
060708A,217805,7.831,-33.751,10.2,4.94,1.68,-,0.0,-
060707A,217704,357.069,-17.904,66.2,16.0,-,-,3.43,-
060614A,214805,320.877,-53.027,108.7,204.0,2.02,"UVOT: possible, late-time rebrightening",0.13,R-band (Danish 1.54m)|I = 21.9 (SMARTS)
060607B,213934,42.043,14.755,31.1,16.4,1.65,No AT slew (Sun constraint),-,-
060607A,213823,329.705,-22.496,102.2,25.5,1.47,-,3.082,-
060605A,213630,322.128,-6.071,79.1,6.97,1.55,-,3.8,-
060604A,213486,337.224,-10.945,95.0,4.02,2.01,NOT reported redshift removed and revised TOUGH redshift added. See references.,2.1357,-
060602A,213180,149.579,0.314,75.0,16.1,1.25,No AT slew (Moon constraint)|UVOT: no detection,0.787,-
060526A,211957,232.834,0.288,298.2,12.6,2.01,BAT: two episodes of emission (see circulars for full details),3.21,-
060522A,211117,322.954,2.895,71.1,11.4,1.56,-,5.11,-
060516A,210254,71.17,-18.126,161.6,10.2,2.19,No AT slew (Sun constraint),-,-
060515A,210084,127.277,73.561,52.0,14.1,1.14,No AT slew (Earth constraint),-,-
060512A,209755,195.748,41.209,8.5,2.32,2.48,-,0.4428,"Possible host (Palomar, Keck I)"
060510B,209352,239.259,78.591,275.2,40.7,1.78,UVOT: no detection,4.9,-
060510A,209351,95.86,-1.163,20.4,80.5,1.57,-,-,-
060507A,208870,89.911,75.25,183.3,44.5,1.83,No AT slew (Earth limb constraint)|UVOT: no detection,-,-
060502A,208169,240.937,66.604,28.4,23.1,1.46,-,0.0,-
060501A,208050,328.374,44.002,21.9,12.2,1.45,No AT Slew (Earth limb constraint)|UVOT: no detection,-,-
060428B,207399,235.369,62.016,57.9,8.23,-,UVOT: marginal detection,-,-
060428A,207364,123.54,-37.167,39.5,13.9,2.03,UVOT: faint afterglow candidate (4 sigma),-,-
060427A,207281,124.177,62.657,64.0,4.99,1.87,UVOT: no detection,-,-
060424A,206773,7.359,36.787,37.5,6.76,1.71,No AT slew (sun constraint),-,-
060421A,206257,343.629,62.73,12.2,12.5,1.55,UVOT: no detection,-,-
060418A,205851,236.431,-3.64,103.1,83.3,1.7,-,1.49,-
060413A,205096,291.287,13.746,147.7,35.6,1.68,UVOT: no detection,-,-
060403A,203755,282.338,8.327,30.1,13.5,1.08,UVOT: no detection,-,-
060323A,202505,174.421,50.0,25.4,6.22,1.54,UVOT: Marginal detection,-,-
060322A,202442,274.23,-36.71,221.5,52.2,-,No AT slew (Moon constraint),-,-
060319A,202035,176.379,60.038,10.6,2.64,2.33,UVOT: no detection,-,-
060312A,201391,45.78,12.827,50.6,19.7,1.88,"UVOT: after slew, was in a state where it was unable to take data|UVOT: no detection",-,-
060306A,200638,41.097,-2.163,61.2,21.3,1.8,UVOT: no detection,-,-
060223B,192152,254.238,-30.812,10.3,16.0,1.49,No AT slew (moon constraint)|XRT: possible X-ray afterglow candidate|UVOT: no detection,-,-
060223A,192059,55.186,-17.134,11.3,6.73,1.74,-,4.41,-
060219A,191512,241.851,32.309,62.1,4.28,2.56,UVOT: no detection,-,-
060218A,191157,50.38,16.91,2100.0,15.7,2.26,GCN 4805: Most likely an underluminous GRB|UVOT: brightening counterpart|SN 2006aj,0.0331,SDSS (possible host)
060211B,181156,75.085,14.959,27.7,4.38,1.57,UVOT: no detection,-,-
060211A,181126,58.381,21.489,126.3,15.7,-,-,-,-
060210A,180977,57.727,27.015,255.0,76.6,1.53,UVOT: no detection,3.91,Possible host: ARC
060206A,180455,202.933,35.046,7.6,8.31,-,-,4.045,-
060204B,180241,211.805,27.675,139.4,29.5,-,-,-,-
060203A,180151,103.463,71.841,68.2,8.98,1.61,UVOT: no detection,-,-
060202A,179968,35.809,38.377,198.9,21.3,1.71,UVOT: no detection,-,-
060124A,178750,77.097,69.727,750.0,4.61,1.84,Extremely long burst,2.3,-
060123A,Ground Analysis,179.75,45.513,900.0,3.0,1.9,"very long, faint burst|BAT: no trigger",1.099,-
060117A,177666,327.912,-59.982,16.9,202.0,-,-,-,-
060116A,177533,84.698,-5.438,105.9,24.1,1.43,UVOT: no detection,0.0,-
060115A,177408,54.007,17.339,139.6,17.1,-,UVOT: no detection,3.53,-
060111B,176918,286.456,70.38,58.8,16.0,1.01,UVOT: candidate afterglow|RTT150: possible host,-,-
060111A,176818,276.193,37.6,13.2,12.0,-,UVOT: potential afterglow candidate|RTT150: possible host,-,-
060110A,176702,72.737,28.428,26.0,15.7,1.64,No AT slew (moon constraint),-,-
060109A,176620,282.735,32.011,115.4,6.55,1.93,long burst|UVOT: no detection,-,-
060108A,176453,147.013,31.935,14.3,3.69,2.03,Swift's 100th burst|XRT: position offset (GCN 4500)|UVOT: no detection,2.03,-
060105A,175942,297.485,46.356,54.4,176.0,1.07,bright long burst|UVOT: no detection,-,-
060102A,175603,328.839,-1.837,19.0,2.34,1.23,No AT slew (Moon constraint)|XRT: no detection,-,-
051227A,174738,125.231,31.949,114.6,6.99,1.45,Possible short burst|UVOT: no detection,-,-
051221B,173904,312.378,53.041,39.9,9.17,1.34,Cannot rule out the possibility that it is a hard x-ray transient,-,-
051213A,172516,252.084,-59.233,71.1,7.82,1.63,No AT slew (Sun constraint),-,-
051117B,164279,85.205,-19.286,9.0,1.77,1.53,UVOT: no detection,0.481,"Possible host (R=21.0)|R=21.0, I=20.4, V=21.8, B=22.5"
051117A,164268,228.398,30.868,136.3,43.4,1.82,-,-,-
051113A,163765,187.242,-26.395,93.3,25.6,1.72,-,-,-
051111A,163438,348.136,18.367,46.1,40.8,1.32,No AT slew (Moon constraint),1.549,-
051109B,163170,345.469,38.663,14.3,2.56,1.97,UVOT: no detection,0.08,"Barred spiral, type SBa (Keck I)"
051109A,163136,330.316,40.85,37.2,22.0,1.51,-,2.346,-
051021B,160672,126.059,-45.534,46.5,8.35,-,UVOT: no detection,-,-
051016A,159913,122.814,-18.299,23.0,8.37,1.89,UVOT: no detection,-,-
051012A,159413|Ground Analysis,270.513,-52.799,13.0,3.04,2.19,"Did not trigger BAT, found in ground processing.|Burst occured during a preplanned slew, causing a significant delay in follow-up observations.",-,-
051008A,158855,202.865,42.103,32.0,50.9,1.13,No AT slew (Earth observing constraint)|BAT: Data truncated at T+32 sec|UVOT: no detection,-,-
051006A,158593,110.807,9.51,34.8,13.4,1.51,UVOT: no detection,1.059,"R=23.0, I=22.2, V=23.3, B=24.2"
051001A,157870,350.984,-31.515,189.1,17.4,2.05,UVOT: no detection,2.4296,-
050922B,156434,5.79,-5.607,150.9,22.3,2.17,-,-,-
050916A,155408,135.979,-51.406,49.5,9.29,1.76,-,-,-
050915B,155284,219.109,-67.411,40.9,33.8,-,-,-,-
050915A,155242,81.688,-28.014,52.0,8.5,1.39,-,2.5273,"R=24.8, V=25.2"
050911A,154630,13.71,-38.856,16.2,3.17,1.84,No AT slew (Earth limb constraint)|XRT: no detection|UVOT: no detection,-,-
050908A,154112,20.457,-12.95,19.4,4.83,1.88,-,3.35,-
050904A,153514,13.77,14.189,174.2,48.3,1.25,-,6.29,-
050827A,152325,64.294,18.219,50.0,21.0,1.38,No AT slew (too near moon),-,-
050826A,152113,87.761,-2.658,35.5,4.13,1.16,-,0.297,"MDM Observatory|R=21.4, I=20.6, V=22.3, B=23.9"
050824A,151905,12.264,22.602,22.6,2.66,2.76,No AT slew (too near moon),0.83,-
050822A,151486,51.106,-46.03,103.4,24.6,2.37,-,-,-
050820B,151334,135.607,-72.64,12.0,20.6,-,"UVOT: UV filters only, due to the presence of a V=4.5 star in its field of view",-,-
050820A,151207,337.416,19.56,26.0,34.4,1.25,"BAT: second, larger, harder episode of emission seen",2.612,-
050819A,151131,358.751,24.871,37.7,3.5,2.71,-,2.5043,-
050814A,150314,264.196,46.324,150.9,20.1,1.8,-,5.3,-
050803A,148833,350.65,5.788,87.9,21.5,1.38,-,0.422,Magellan: possible host
050802A,148646,219.283,27.799,19.0,20.0,1.54,-,1.71,-
050801A,148522,204.144,-21.93,19.4,3.1,1.99,-,-,-
050730A,148225,212.069,-3.754,156.5,23.8,1.53,-,3.96855,-
050726A,147788,200.024,-32.064,49.9,19.4,0.9,-,-,-
050724A,147478,246.175,-27.526,96.0,9.98,1.89,short GRB|XRT: dust-scattered X-ray halo detected,0.257,DSS: possible host galaxy
050721A,146970,253.453,-28.386,98.4,36.2,1.9,-,-,-
050717A,146372,214.348,-50.541,85.0,63.1,1.3,-,-,-
050716A,146227,338.593,38.683,69.1,61.7,-,-,-,-
050715A,146129,155.641,-0.029,51.6,14.9,1.6,No AT slew (too near sun),-,-
050714B,145994,169.691,-15.547,46.7,5.95,2.45,-,-,"R=21.8, I=20.6, V=22.9, B=24.9"
050713B,145754,307.821,60.936,54.2,31.8,1.39,-,-,-
